"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels","Data comment",Date,Reach,"3-second video views","1-minute video views","Seconds viewed","Average Seconds viewed","3-second viewers","1-minute viewers","Reactions, comments and shares",Reactions,Comments,Shares,"Seconds viewed from Followers","Seconds viewed from Recommendations","Seconds viewed from Shares","Seconds viewed from Boosted posts","Average Seconds viewed from Recommendations","Average Seconds viewed from Followers","Average Seconds viewed from Shares","Average Seconds viewed from Boosted posts","Percentage of total views at interval 2","Percentage of total views at interval 3","Percentage of total views at interval 1","Percentage of total views at interval 0","Percentage of total views at interval 4","Percentage of total views at interval 5","Percentage of total views at interval 6","Percentage of total views at interval 7","Percentage of total views at interval 8","Percentage of total views at interval 9","Percentage of total views at interval 10","Percentage of total views at interval 11","Percentage of total views at interval 12","Percentage of total views at interval 13","Percentage of total views at interval 14","Percentage of total views at interval 15","Percentage of total views at interval 16","Percentage of total views at interval 17","Percentage of total views at interval 18","Percentage of total views at interval 19","Percentage of total views at interval 20","Percentage of total views at interval 21","Percentage of total views at interval 22","Percentage of total views at interval 23","Percentage of total views at interval 24","Percentage of total views at interval 25","Percentage of total views at interval 26","Percentage of total views at interval 27","Percentage of total views at interval 28","Percentage of total views at interval 29","Percentage of total views at interval 30","Percentage of total views at interval 31","Percentage of total views at interval 32","Percentage of total views at interval 34","Percentage of total views at interval 35","Percentage of total views at interval 33","Percentage of total views at interval 36","Percentage of total views at interval 37","Percentage of total views at interval 38","Percentage of total views at interval 39","Percentage of total views at interval 40","Percentage of 15-second views at interval 1","Percentage of 15-second views at interval 2","Percentage of 15-second views at interval 3","Percentage of 15-second views at interval 4","Percentage of 15-second views at interval 5","Percentage of 15-second views at interval 6","Percentage of 15-second views at interval 7","Percentage of 15-second views at interval 8","Percentage of 15-second views at interval 9","Percentage of 15-second views at interval 10","Percentage of 15-second views at interval 11","Percentage of 15-second views at interval 12","Percentage of 15-second views at interval 13","Percentage of 15-second views at interval 14","Percentage of 15-second views at interval 15","Percentage of 15-second views at interval 0","Percentage of 15-second views at interval 16","Percentage of 15-second views at interval 17","Percentage of 15-second views at interval 18","Percentage of 15-second views at interval 19","Percentage of 15-second views at interval 20","Percentage of 15-second views at interval 21","Percentage of 15-second views at interval 22","Percentage of 15-second views at interval 23","Percentage of 15-second views at interval 24","Percentage of 15-second views at interval 25","Percentage of 15-second views at interval 26","Percentage of 15-second views at interval 27","Percentage of 15-second views at interval 28","Percentage of 15-second views at interval 29","Percentage of 15-second views at interval 30","Percentage of 15-second views at interval 31","Percentage of 15-second views at interval 32","Percentage of 15-second views at interval 33","Percentage of 15-second views at interval 34","Percentage of 15-second views at interval 35","Percentage of 15-second views at interval 36","Estimated earnings (USD)","3-second video views by top audience (F, 55-64)","3-second video views by top audience (F, 45-54)","3-second video views by top audience (F, 65+)","3-second video views by top audience (F, 35-44)","3-second video views by top audience (M, 45-54)","3-second video views by top audience (M, 55-64)","3-second video views by top audience (F, 25-34)","3-second video views by top audience (M, 35-44)","3-second video views by top audience (M, 65+)","3-second video views by top audience (M, 25-34)","3-second video views by top audience (F, 18-24)","3-second video views by top audience (M, 18-24)","3-second video views by country (United Kingdom (GB))","3-second video views by country (Ireland (IE))","3-second video views by country (China (CN))","3-second video views by country (India (IN))","3-second video views by country (Turkey (TR))","3-second video views by country (Bangladesh (BD))","3-second video views by country (Hong Kong (HK))","3-second video views by country (Bulgaria (BG))","3-second video views by country (South Africa (ZA))","3-second video views by country (United States (US))","3-second video views by country (Netherlands (NL))","3-second video views by country (Djibouti (DJ))","3-second video views by country (Indonesia (ID))"
1531517985439845,,350544635868,"Barker and Stonehouse",,32,"07/20/2026 10:30",,,Lifetime,1398,499,0,8492.003,6.467,461,0,10,7,2,1,5692.423,2766.924,32.656,,7.0584795918367,6.228033916849,4.6651428571429,0,1,1,1,0.99,0.81,0.66,0.56,0.49,0.45,0.41,0.39,0.36,0.35,0.33,0.3,0.3,0.29,0.27,0.27,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.18,0.18,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.98,0.92,0.91,0.86,0.86,0.83,0.8,0.79,0.76,0.75,0.74,0.71,0.68,0.67,0.64,0.61,0.61,,,,,0,102,101,75,49,45,31,28,23,13,13,6,2,485,4,3,2,1,1,1,1,1,,,,
1555757735985653,,350544635868,"Barker and Stonehouse",,36,"07/15/2026 00:54",,,Lifetime,29572,6335,0,85956.35,3.247,6330,0,21,20,0,1,3858.601,2681.024,523.97,78892.755,4.5441084745763,4.4919685681024,7.820447761194,3.1614007212983,0.99,0.99,1,1,0.97,0.64,0.47,0.37,0.31,0.26,0.23,0.22,0.2,0.18,0.16,0.14,0.13,0.13,0.11,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,0.86,0.76,0.72,0.67,0.64,0.59,0.55,0.51,0.47,0.46,0.44,0.43,0.41,0.39,0.39,0.38,0.37,0.36,0.34,0.32,0.28,0,1753,1616,535,1203,283,215,366,166,61,43,14,3,6322,1,4,3,,1,,,,1,1,1,1
