"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,"Link clicks",Navigation,"Profile visits",Follows,"Sticker taps"
18095033603042790,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/02/2026 07:35",https://www.instagram.com/stories/barkerandstonehouse/3866481240782425603,"IG story",,Lifetime,743,611,0,0,0,,686,3,,
18104201992723696,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/02/2026 07:35",https://www.instagram.com/stories/barkerandstonehouse/3866481243223513630,"IG story",,Lifetime,664,577,0,0,0,,632,,,
18148354261388121,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,11,"07/01/2025 04:11",https://www.instagram.com/stories/barkerandstonehouse/3667065388466772166,"IG story",,Lifetime,1120,1029,5,0,0,,1020,7,,
18092166526777714,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"01/09/2026 08:44",https://www.instagram.com/stories/barkerandstonehouse/3806389949516531323,"IG story",,Lifetime,831,702,1,0,0,4,790,1,,
18090177601983594,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"01/09/2026 08:44",https://www.instagram.com/stories/barkerandstonehouse/3806389904301903589,"IG story",,Lifetime,840,727,1,0,0,7,811,1,,
18100690732832277,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"01/09/2026 08:44",https://www.instagram.com/stories/barkerandstonehouse/3806389904780051963,"IG story",,Lifetime,892,763,2,0,0,5,847,1,,
18091161277976878,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"01/09/2026 08:44",https://www.instagram.com/stories/barkerandstonehouse/3806389903991533248,"IG story",,Lifetime,962,840,2,0,0,4,902,5,,
18098303359894471,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"01/09/2026 08:44",https://www.instagram.com/stories/barkerandstonehouse/3806389949214555873,"IG story",,Lifetime,1233,1093,3,0,0,,1126,13,,
18158642749410060,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"12/26/2025 06:37",https://www.instagram.com/stories/barkerandstonehouse/3796179293571968980,"IG story",,Lifetime,4366,3815,3,2,1,29,2407,8,1,
18113951410593111,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"12/22/2025 01:43",https://www.instagram.com/stories/barkerandstonehouse/3793132138183549845,"IG story",,Lifetime,2585,2204,3,1,0,21,1423,6,,
18090916096960567,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"12/20/2025 01:38",https://www.instagram.com/stories/barkerandstonehouse/3791680210052335647,"IG story",,Lifetime,1606,1436,1,0,0,18,1463,6,,
18068187872133792,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"12/19/2025 00:30",https://www.instagram.com/stories/barkerandstonehouse/3790920856697090549,"IG story",,Lifetime,2245,1942,3,1,0,19,1260,11,,2
18107577253645546,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,43,"12/18/2025 08:31",https://www.instagram.com/stories/barkerandstonehouse/3790438581882590360,"IG story",,Lifetime,1342,1196,5,0,1,,1229,3,,
18088475626794750,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Take a sneak peek at our brand new @jarroldnorwich store - officially opening on the 18th!",24,"12/12/2025 04:21",https://www.instagram.com/stories/barkerandstonehouse/3785963761731941020,"IG story",,Lifetime,2721,2383,7,5,1,2,1587,4,,15
17979876068940903,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"12/10/2025 03:35",https://www.instagram.com/stories/barkerandstonehouse/3784491112313141327,"IG story",,Lifetime,1028,931,0,0,0,,973,5,,
18086130410016964,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"12/10/2025 03:34",https://www.instagram.com/stories/barkerandstonehouse/3784490696313708593,"IG story",,Lifetime,1274,1142,0,0,0,7,1152,1,,
17950832639917415,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,6,"12/08/2025 01:05",https://www.instagram.com/stories/barkerandstonehouse/3782966150192453929,"IG story",,Lifetime,820,745,2,0,0,,765,4,2,11
18049671677407289,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,21,"12/08/2025 01:05",https://www.instagram.com/stories/barkerandstonehouse/3782966104919147558,"IG story",,Lifetime,853,782,2,1,0,,791,3,,15
17985376736868824,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,5,"12/08/2025 01:05",https://www.instagram.com/stories/barkerandstonehouse/3782966051064273918,"IG story",,Lifetime,916,849,2,0,0,,825,2,1,4
18076335185193698,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,20,"12/08/2025 01:05",https://www.instagram.com/stories/barkerandstonehouse/3782965977647197939,"IG story",,Lifetime,1271,1136,3,0,0,,1067,11,2,
18387157492195674,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,18,"12/05/2025 08:17",https://www.instagram.com/stories/barkerandstonehouse/3781009046506367046,"IG story",,Lifetime,1341,1166,1,1,0,,1226,5,,
17847848586612400,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,5,"12/05/2025 02:25",https://www.instagram.com/stories/barkerandstonehouse/3780832137575153868,"IG story",,Lifetime,1204,864,1,0,0,,1028,5,,20
18375933349159244,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,39,"12/05/2025 02:25",https://www.instagram.com/stories/barkerandstonehouse/3780831876127420513,"IG story",,Lifetime,1355,1016,4,0,0,,1256,12,2,
17928934443176807,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,25,"12/03/2025 11:45",https://www.instagram.com/stories/barkerandstonehouse/3779664188034273537,"IG story",,Lifetime,1003,914,3,2,0,,951,5,,
17902797213316340,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,44,"12/03/2025 01:56",https://www.instagram.com/stories/barkerandstonehouse/3779367800159359154,"IG story",,Lifetime,1408,1257,2,0,2,,1316,3,,
17962557602991186,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,40,"12/02/2025 08:30",https://www.instagram.com/stories/barkerandstonehouse/3778841462637907263,"IG story",,Lifetime,1344,1196,4,0,0,,1258,6,,
18149534881426218,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/28/2025 06:42",https://www.instagram.com/stories/barkerandstonehouse/3775887775166643429,"IG story",,Lifetime,866,790,0,0,0,5,812,4,,
18119207551547976,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,27,"11/28/2025 06:39",https://www.instagram.com/stories/barkerandstonehouse/3775886684647634886,"IG story",,Lifetime,1108,1011,2,0,0,,1025,4,,
18087334531947335,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/27/2025 07:06",https://www.instagram.com/stories/barkerandstonehouse/3775175483655508251,"IG story",,Lifetime,718,623,1,0,0,28,665,2,,
18031088450746050,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/27/2025 07:06",https://www.instagram.com/stories/barkerandstonehouse/3775175488755792042,"IG story",,Lifetime,735,657,0,0,0,,705,1,,
18088641640770815,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/27/2025 07:06",https://www.instagram.com/stories/barkerandstonehouse/3775175485970753667,"IG story",,Lifetime,896,829,0,1,0,,850,1,,
18063233030537295,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/23/2025 01:14",https://www.instagram.com/stories/barkerandstonehouse/3772099211064772707,"IG story",,Lifetime,1097,998,0,0,0,,1029,8,,
