"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, comments and shares",Reactions,Comments,Shares,"Total clicks","Link clicks","Other clicks","Matched audience targeting consumption (Photo Click)","Negative feedback from users: Hide all","Negative feedback from users: Hide","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1134937338666041,100064493572441,"Barker and Stonehouse","This weekend only, save an extra 10% off clearance furniture! Shop in store or use code EXTRA10S online 🛒

https://www.barkerandstonehouse.co.uk/clearance",,0,"07/11/2025 05:08",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid0AjCsqKijvDudpthXUoE3GKsmPySKtg6LKMCqmCYLJG6obpUFoXb6rMxsXRaLKpXol,0,0,Photos,,,,,Lifetime,8997,5605,4,3,0,1,170,144,10,16,,,,,,,
1422457393247366,100064493572441,"Barker and Stonehouse","This is your reminder🚨

Pop into your local Barker and Stonehouse this week and scan the QR code for a chance to win a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery🥳

Hurry…only 9 days left!","This is your reminder🚨

Pop into your local Barker and Stonehouse this week and scan the QR code for a chance to win a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery🥳

Hurry…only 9 days left!",12,"06/21/2026 01:30",N/A,https://www.facebook.com/reel/1665566014722444/,0,0,Videos,,,,,Lifetime,984,969,2,2,0,0,3,,3,,,,2494.61,2.834,0,0,0
1422453803247725,100064493572441,"Barker and Stonehouse","Summer just got a little more exciting ☀️

Visit your local Barker & Stonehouse for the chance to win a prize such as a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery😆

1️⃣ Scan & screenshot: Scan the QR code and save your result.

2️⃣ Shop your prize: Choose the item you’d like to put it towards.

3️⃣ Show & redeem: Show your screenshot to a team member at checkout.

Pop in store, take part, and see what you could win🥳","Summer just got a little more exciting ☀️

Visit your local Barker & Stonehouse for the chance to win a prize such as a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery😆

1️⃣ Scan & screenshot: Scan the QR code and save your result.

2️⃣ Shop your prize: Choose the item you’d like to put it towards.

3️⃣ Show & redeem: Show your screenshot to a team member at checkout.

Pop in store, take part, and see what you could win🥳",30,"06/20/2026 01:30",N/A,https://www.facebook.com/reel/1040277631910388/,0,0,Videos,,,,,Lifetime,685,696,2,2,0,0,1,,1,,,,1955.828,3.051,0,0,0
1422178416608597,100064493572441,"Barker and Stonehouse","What will you unlock? 

Sign up for your free summer gift! 

https://www.barkerandstonehouse.co.uk/signup",,0,"06/19/2026 02:30",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid0t8jdhzLnmDrCNQ8ktoNLp77kr4R59mhZ9VKYbgUS6m2Tw8bJLBMCX4vTG8HxFHDHl,0,0,Photos,,,,,Lifetime,764,521,2,1,0,1,13,9,4,,,,,,,,
1422146749945097,100064493572441,"Barker and Stonehouse","Summer has well and truly arrived ☀️

Make the most of the season with a fresh new look for your home. Enjoy 25% off all furniture, up to 50% off clearance, and 70% off accessories in our Summer Sale. 

Shop online and in store from tomorrow.","Summer has well and truly arrived ☀️

Make the most of the season with a fresh new look for your home. Enjoy 25% off all furniture, up to 50% off clearance, and 70% off accessories in our Summer Sale. 

Shop online and in store from tomorrow.",17,"06/19/2026 01:30",uploaded,https://www.facebook.com/reel/27575957888683566/,1,0,Videos,,,,,Lifetime,518,526,2,2,0,0,3,,3,,,,1231.089,2.602,0,0,0
1421594240000348,100064493572441,"Barker and Stonehouse","Have you received your copy of The Summer Times yet? ☀️

Packed with all the inspiration you need for the season ahead, it’s your go-to guide for summer style.

Plus, there’s a free gift waiting inside too🤭","Have you received your copy of The Summer Times yet? ☀️

Packed with all the inspiration you need for the season ahead, it’s your go-to guide for summer style.

Plus, there’s a free gift waiting inside too🤭",27,"06/18/2026 09:30",uploaded,https://www.facebook.com/reel/1704376637548776/,1,0,Videos,,,,,Lifetime,433,429,0,0,0,0,3,,3,,,,1214.566,3.098,0,0,0
1421329086693530,100064493572441,"Barker and Stonehouse","Barker and Stonehouse updated their status.",,0,"06/18/2026 03:57",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid035PoyyV7o9BjhMdJ8wCUjwPGV3gAYe5r2qPW9c3NwbVC7XkcSansL71AZ3EUnmxt4l,0,0,Text,,,,,Lifetime,162,116,0,0,0,0,0,,,,,,,,,,
1421239030035869,100064493572441,"Barker and Stonehouse","The Summer Sale is almost here🌞

Now’s your chance to make the most of the season in store and online🛋️

https://ow.ly/IW6U50Zc9Ts",,0,"06/18/2026 01:30",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid0263Gi3bsnr838zdgkGGD8QUu1kvko8UGAHZVSodbmwzdgSSwfw2gcVhi5pkFJs6ol,0,0,Photos,,,,,Lifetime,616,476,2,2,0,0,5,3,,2,,,,,,,
1415332050626567,100064493572441,"Barker and Stonehouse","Summer is coming…and so is our Summer Sale! Offers start Saturday in store and online.","Summer is coming…and so is our Summer Sale! Offers start Saturday in store and online.",17,"06/15/2026 10:01",N/A,https://www.facebook.com/reel/1648738832847199/,0,0,Videos,,,,,Lifetime,510,542,3,3,0,0,0,,,,,,1095.839,2.307,0,0,0
1415330510626721,100064493572441,"Barker and Stonehouse","This is your sign…to refresh your space for less ✨

Save 20% off all accessories online and in store, plus up to 70% off selected pieces in store only.","This is your sign…to refresh your space for less ✨

Save 20% off all accessories online and in store, plus up to 70% off selected pieces in store only.",29,"06/14/2026 01:30",N/A,https://www.facebook.com/reel/1984128622380376/,0,0,Videos,,,,,Lifetime,1079,1064,2,2,0,0,11,,11,,,,4158.157,4.304,0,0,0
